Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,456.0,509.0,445.79998779296875,508.5,434.6424255371094,3938365
2018-07-01,508.0,549.0,499.6000061035156,530.5,453.4470520019531,2790721
2018-08-01,543.0,572.5,523.5,553.5,473.1064147949219,4836190
2018-09-01,555.5,568.5,527.0,529.0,452.1649475097656,3405136
2018-10-01,528.0,534.5,451.0,467.79998779296875,399.85394287109375,4255174
2018-11-01,468.79998779296875,502.5,463.6000061035156,477.3999938964844,408.0596008300781,3821357
2018-12-01,480.3999938964844,497.3999938964844,443.3999938964844,449.0,383.78460693359375,2417630
2019-01-01,449.0,494.20001220703125,445.0,490.3999938964844,419.1714172363281,2847661
2019-02-01,492.6000061035156,519.5,476.0,485.0,414.55572509765625,2271937
2019-03-01,488.0,538.0,469.20001220703125,491.0,419.6842346191406,3847112
2019-04-01,491.3999938964844,499.6000061035156,468.3999938964844,477.0,407.7177429199219,3551697
2019-05-01,483.0,503.20001220703125,473.79998779296875,476.0,416.2681579589844,2410852
2019-06-01,471.29998779296875,485.20001220703125,456.6000061035156,479.0,418.8917236328125,2445290
2019-07-01,481.20001220703125,508.6000061035156,474.29998779296875,503.3999938964844,440.2298278808594,2891675
2019-08-01,504.6000061035156,599.4000244140625,491.79998779296875,587.4000244140625,513.68896484375,3881638
2019-09-01,587.4000244140625,593.0,533.0,564.7999877929688,493.9249267578125,2606420
2019-10-01,566.5999755859375,573.5999755859375,529.5999755859375,549.2000122070312,480.2825622558594,2894819
2019-11-01,548.2000122070312,617.5999755859375,536.2000122070312,610.4000244140625,533.802734375,2468264
2019-12-01,612.0,619.4000244140625,595.0,610.0,533.4529418945312,1599647
2020-01-01,610.0,648.7999877929688,592.7999877929688,642.2000122070312,561.6121826171875,1946544
2020-02-01,641.7999877929688,696.7999877929688,576.0,581.0,508.09197998046875,2151336
2020-03-01,581.0,620.0,337.29998779296875,490.29998779296875,428.7737121582031,7271807
2020-04-01,488.0,532.2000122070312,454.0,527.0,460.8683166503906,3684590
2020-05-01,517.7999877929688,548.2000122070312,486.0,537.0,494.0599670410156,2565534
2020-06-01,537.0,582.2000122070312,500.6000061035156,551.7999877929688,507.67645263671875,3600899
2020-07-01,551.7999877929688,659.4000244140625,542.0,638.2000122070312,587.167724609375,2601333
2020-08-01,636.5999755859375,696.5999755859375,615.0,654.0,601.7042846679688,2717974
2020-09-01,653.2000122070312,684.2000122070312,626.4000244140625,655.5999755859375,614.4835205078125,2803953
2020-10-01,655.5999755859375,671.2000122070312,615.7999877929688,624.2000122070312,585.0528564453125,2214538
2020-11-01,625.7999877929688,725.0,621.0,652.4000244140625,611.4843139648438,2497066
2020-12-01,652.4000244140625,717.7999877929688,647.4000244140625,706.5999755859375,662.2850952148438,1861572
2021-01-01,706.5999755859375,723.7999877929688,597.2000122070312,607.5999755859375,569.493896484375,2810647
2021-02-01,607.7999877929688,673.4000244140625,607.4000244140625,634.5999755859375,594.8006591796875,1906612
2021-03-01,641.4000244140625,679.5999755859375,619.2000122070312,663.4000244140625,621.79443359375,2423119
2021-04-01,663.4000244140625,773.2000122070312,663.4000244140625,755.0,707.649658203125,2065041
2021-05-01,756.4000244140625,803.7999877929688,751.0,787.5999755859375,751.3404541015625,1897052
2021-06-01,790.0,810.7999877929688,777.4000244140625,798.7999877929688,762.0247802734375,1934899
2021-07-01,802.0,853.4000244140625,802.0,850.0,810.86767578125,1883056
2021-08-01,853.0,858.0,785.7999877929688,813.4000244140625,775.9526977539062,1847172
2021-09-01,816.7999877929688,838.4000244140625,753.5999755859375,774.0,738.3665771484375,2767860
2021-10-01,767.5999755859375,813.0,756.0,798.4000244140625,761.643310546875,1761121
2021-11-01,801.0,847.0,698.7999877929688,699.5999755859375,667.3917236328125,2493949
2021-12-01,697.4000244140625,740.4000244140625,676.0,737.2000122070312,703.2608032226562,1856581
2022-01-01,738.7999877929688,820.0,738.7999877929688,758.0,723.1032104492188,1987223
2022-02-01,764.4000244140625,789.5999755859375,690.5999755859375,706.4000244140625,673.8787841796875,1425555
2022-03-01,703.0,708.4000244140625,535.0,632.4000244140625,603.2855834960938,3358252
2022-04-01,632.5999755859375,662.4000244140625,604.4000244140625,614.2000122070312,585.9234619140625,1962531
2022-05-01,608.4000244140625,635.2000122070312,550.2000122070312,608.4000244140625,594.1483154296875,2685025
2022-06-01,610.2000122070312,638.4000244140625,571.4000244140625,628.4000244140625,613.6798095703125,2475972
2022-07-01,625.2000122070312,694.7999877929688,604.0,619.2000122070312,604.6953125,1900865
2022-08-01,623.0,640.2000122070312,550.0,556.5999755859375,543.5617065429688,2513495
2022-09-01,550.0,559.5999755859375,486.0,494.8999938964844,483.3070373535156,2092925
2022-10-01,492.5,519.7999877929688,390.20001220703125,430.29998779296875,420.22027587890625,4686450
2022-11-01,432.1000061035156,497.70001220703125,417.20001220703125,486.1000061035156,474.7131652832031,2942977
2022-12-01,489.3999938964844,502.0,471.3999938964844,495.29998779296875,483.6976623535156,2173727
2023-01-01,497.0,535.0,463.5,478.70001220703125,467.4865417480469,2760474
2023-02-01,478.79998779296875,506.6000061035156,478.20001220703125,490.29998779296875,478.8147888183594,2217423
2023-03-01,490.70001220703125,602.0,484.0,598.0,583.991943359375,2905934
2023-04-01,598.4000244140625,649.7999877929688,586.0,603.7999877929688,589.6560668945312,2324638
2023-05-01,604.0,647.4000244140625,591.0,643.0,643.0,918464
